CAM_ID	participantCAM	mean_1_technologicalimplant	mean_2_technologicalimplant	mean_1_dashed_technologicalimplant	mean_2_dashed_technologicalimplant	mean_2_weighted_technologicalimplant	mean_2_weighted_dashed_technologicalimplant
syload2_2125	syload2_2125	0.6	-0.058823529411764705	0.6	-0.058823529411764705	0.09090909090909091	0.058823529411764705
thcape2_2200	thcape2_2200	-0.6666666666666666	-0.9473684210526315	-0.6666666666666666	-0.9473684210526315	-0.88	-0.5789473684210527
thwhda2_2317	thwhda2_2317	-0.8571428571428571	-1.6363636363636365	-0.8571428571428571	-1.6363636363636365	-1.3333333333333333	-1.0909090909090908
trquji2_2124	trquji2_2124	0	0.8333333333333334	0	0.8333333333333334	0.7142857142857143	0.4166666666666667
tulosa2_2194	tulosa2_2194	0.75	0.6	0.75	0.6	0.6428571428571429	0.45
tunojo2_2152	tunojo2_2152	-0.1111111111111111	0.05263157894736842	-0.1111111111111111	0.05263157894736842	0	0
tuplsi2_2131	tuplsi2_2131	-0.8333333333333334	-0.3	-0.8333333333333334	-0.3	-0.5	-0.4
unulro2_2176	unulro2_2176	0.375	0.7777777777777778	0.375	0.7777777777777778	0.6538461538461539	0.4722222222222222
vapiji2_2195	vapiji2_2195	2	1.5	2	1.5	1.6666666666666667	1.25
wabada2_2116	wabada2_2116	0	0.631578947368421	0	0.631578947368421	0.5	0.3157894736842105
wienke2_2128	wienke2_2128	0.5	0.7857142857142857	0.5	0.7857142857142857	0.6818181818181818	0.5357142857142857
