session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Nationality,Sex,Student Status
608eaa39fd4285bd1faa2595,60292fb1bf92e7828428ed62,AWAITING REVIEW,2021-05-02 13:33:45.639000,2021-05-02 15:16:08.951000,6143.312,56,78,0,100,,2A25E7C1,United Kingdom,United Kingdom,Other,DATA EXPIRED,English,United Kingdom,Male,No
608eaa3a4316444195abfb73,60708764c70cff143376021e,AWAITING REVIEW,2021-05-02 13:35:06.899000,2021-05-02 14:24:15.945000,2949.046,38,38,1,100,,2A25E7C1,United Kingdom,United Kingdom,Full-Time,,English,United Kingdom,Female,No
608eaa3a69d7e3b01d6e2258,5f8d77f0b348950659f1919e,AWAITING REVIEW,2021-05-02 13:33:46.846000,2021-05-02 14:17:03.255000,2596.409,24,63,1,100,,2A25E7C1,United Kingdom,United Kingdom,Unemployed (and job seeking),,English,United Kingdom,Male,Yes
608eaa3ad46a79c7bae71855,5f2a12f5837dd81e5881b7cc,RETURNED,2021-05-02 13:33:46.459000,,78162.600833,42,739,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa3b14d4654f8d82f25d,60815e64cf1672d46615b04d,AWAITING REVIEW,2021-05-02 13:33:47.005000,2021-05-02 14:15:15.564000,2488.559,19,6,1,97,,2A25E7C1,United Kingdom,United Kingdom,Unemployed (and job seeking),,English,United Kingdom,Prefer not to say,Yes
608eaa3b14fc0f709afd4543,603758e41c4468b882a74700,AWAITING REVIEW,2021-05-02 13:33:51.197000,2021-05-02 14:11:02.245000,2231.048,38,60,0,100,,2A25E7C1,United Kingdom,United Kingdom,Part-Time,DATA EXPIRED,English,United Kingdom,Female,No
608eaa3b68c25462302a103a,57ea425e5b88f5000106bb9f,RETURNED,2021-05-02 13:34:10.525000,,78138.553881,53,1068,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa3bf8a0535624b8f41d,5fd376b557cff605883ee086,RETURNED,2021-05-02 13:33:49.327000,,78159.751967,21,123,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa3c43cd26c9efa265a5,5fe900ea3803bb82c41da093,TIMED-OUT,2021-05-02 13:33:52.841000,,78156.238062,30,45,1,99,,,United Kingdom,United Kingdom,Part-Time,,English,United Kingdom,Female,No
608eaa3c70d3d7dc79e49e90,5bc35acbe5fc0200012ab7c1,RETURNED,2021-05-02 13:33:48.582000,,78160.50962,23,139,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
