CAM_ID	participantCAM	mean_valence_macro	mean_valence_normed_macro	density_macro	transitivity_macro	centr_degree_macro	centr_clo_macro	centr_betw_macro	centr_eigen_macro	meanDistance_directed_macro	meanDistance_undirected_macro	diameter_weighted_undirected_macro	diameter_unweighted_undirected_macro	diameter_unweighted_directed_macro	num_nodes_macro	num_nodes_pos_macro	num_nodes_neg_macro	num_nodes_neut_macro	num_nodes_ambi_macro	num_edges_macro	num_edges_solid_macro	num_edges_dashed_macro	num_edges_invaliddashed_macro	meanWeightEdges_macro	reciprocity_macro	assortativity_valence_macro	assortativityDegree_macro	degreetot_micro_technologicalimplant	valence_micro_technologicalimplant	centr_clo_micro_technologicalimplant
foblc1_2026	foblc1_2026	-0.3	-0.1	0.13333333333333333	0.2903225806451613	0.2839506172839506	0.7084609250398722	0.7530864197530864	0.6851770581241738	1.1428571428571428	2.022222222222222	8	4	2	10	2	3	1	4	12	12	0	0	2	0	0.28571428571428537	-0.40511440107671615	7	0	1
foloa1_1835	foloa1_1835	0.16666666666666666	0	0.059782608695652176	0.16363636363636364	0.14177693761814744	0.39350162410413775	0.6442687747035574	0.8233414913100979	2.7823834196891193	3.4166666666666665	16	6	6	24	10	10	2	2	33	23	10	6	2.3333333333333335	0.42424242424242425	0.1508771929824561	0.15298431452434302	9	0	1
gagra1_1924	gagra1_1924	0	0	0.1527777777777778	0.20689655172413793	0.3203125	0.7792248478338707	0.7901785714285714	0.657781348660566	1.1538461538461537	1.8333333333333333	6	3	2	9	3	3	2	1	11	10	1	0	2	0	-0.0476190476190468	-0.569069069069069	NA	NA	NA
gicrt1_1886	gicrt1_1886	-0.35294117647058826	-0.11764705882352941	0.0625	0	0.166015625	0.4678959004570407	0.7796875	0.7692294083892188	1.606060606060606	3.1176470588235294	14	7	3	17	7	9	1	0	17	8	9	5	2	0.11764705882352941	0.15527950310559036	-0.31637168141592936	7	0	1
grstr1_1874	grstr1_1874	-1.25	-0.5	0.25	0	0.1111111111111111	0.4166666666666667	0.4444444444444444	0.38196601125010554	1.25	1.6666666666666667	9	3	2	4	1	3	0	0	3	2	1	0	3	0	-0.19999999999999232	-0.5	NA	NA	NA
guakt1_1875	guakt1_1875	-0.2857142857142857	-0.2857142857142857	0.14285714285714285	0	0.3194444444444444	0.7857142857142857	0.8777777777777778	0.6951372822458948	1.1428571428571428	1.9047619047619047	7	3	2	7	1	3	1	2	6	6	0	0	2.3333333333333335	0	-0.6000000000000002	-0.7759999999999999	5	0	1
hahan1_1915	hahan1_1915	0.125	0	0.19642857142857142	0	0.2653061224489796	0.37959656084656096	0.46802721088435373	0.7314713826975042	2.125	2.4285714285714284	10	5	5	8	2	2	2	2	11	8	3	0	2	0.5454545454545454	0.25538461538461504	0.01785714285714296	NA	NA	NA
halid1_1851	halid1_1851	-1.3333333333333333	-0.5	0.2	0	0.48	1	1	0.7196699141100895	1.4	1.6666666666666667	4	2	2	6	1	4	1	0	6	5	1	0	2	0.3333333333333333	-0.8305084745762707	-0.9799999999999999	6	0	1
hawep1_1889	hawep1_1889	0	0	0.06666666666666667	0.028037383177570093	0.4622222222222222	0.9948979591836731	0.9904761904761905	0.7886233660915415	1	1.8666666666666667	4	2	1	16	7	7	2	0	16	9	7	0	2	0	-0.49134487350199735	-0.907626208378088	15	0	1
kabos1_1867	kabos1_1867	0	-0.09090909090909091	0.15454545454545454	0.3333333333333333	0.16	0.31352851168281687	0.3229629629629629	0.6118948998048652	2.090909090909091	2.090909090909091	8	4	5	11	4	5	1	1	17	10	7	0	2.176470588235294	0.11764705882352941	-0.2353870458135853	-0.05741626794258339	NA	NA	NA
kajor1_1897	kajor1_1897	-0.4666666666666667	-0.2	0.1619047619047619	0.06451612903225806	0.8214285714285714	0.8772150925997082	0.9062009419152278	0.7685164885139848	1.8724489795918366	1.9047619047619047	9	3	3	15	4	7	2	2	34	22	12	0	2.411764705882353	0.8823529411764706	-0.42580645161290315	-0.6844881665240945	26	0	1
kelok1_1901	kelok1_1901	0.7333333333333333	0.26666666666666666	0.14285714285714285	0.13953488372093023	0.11479591836734694	0.5036484503728811	0.5586913086913087	0.5417836044256673	3.08125	2.533333333333333	8	4	7	15	7	3	2	3	30	30	0	0	2	0.7333333333333333	-0.16731517509727592	-0.39361260887598476	NA	NA	NA
khpim1_1873	khpim1_1873	-1.5263157894736843	-0.5263157894736842	0.07602339181286549	0.04477611940298507	0.24228395061728394	0.6631013436740992	0.8928830791575889	0.6903544419384566	1.3157894736842106	2.508771929824561	8	4	2	19	3	13	1	2	26	23	3	1	2	0.5384615384615384	-0.1926605504587172	-0.5219666544967748	11	0	1
knban1_1876	knban1_1876	-0.16666666666666666	-0.16666666666666666	0.16666666666666669	0	0.28	0.73125	0.82	0.6557277673040155	1.8333333333333333	1.8666666666666667	7	3	3	6	2	3	1	0	5	4	1	0	2.2	0	0.4444444444444431	-0.7391304347826086	NA	NA	NA
kotek1_1909	kotek1_1909	0.0625	0	0.07083333333333333	0.075	0.2088888888888889	0.5680490128819556	0.7879365079365079	0.7655581495745799	1.3846153846153846	2.658333333333333	11	5	3	16	6	6	1	3	17	17	0	0	2.0588235294117645	0.11764705882352941	-0.1754161331626132	-0.31307929969104004	8	0	1
lamig1_1898	lamig1_1898	-0.8571428571428571	-0.35714285714285715	0.1043956043956044	0.2	0.17751479289940827	0.35863576031205563	0.4822485207100592	0.7945764847815339	2.5342465753424657	2.7032967032967035	12	5	5	14	1	6	4	3	19	12	7	0	2.3157894736842106	0.21052631578947367	-0.15853658536585422	0.0727874276261374	7	0	1
lesol1_1854	lesol1_1854	-0.125	-0.125	0.26785714285714285	0	0.5918367346938775	0.7802579365079364	0.8435374149659864	0.6555455223412823	1.836734693877551	1.8571428571428572	6	3	3	8	3	4	1	0	15	8	7	2	2	0.9333333333333333	-0.7938144329896899	-0.761790327425653	11	0	1
makgd1_1902	makgd1_1902	-0.1	0.1	0.2222222222222222	0.21428571428571427	0.8024691358024691	0.9531250000000001	0.9166666666666666	0.7312108299517817	1.7530864197530864	1.7333333333333334	4	2	2	10	4	3	2	1	20	20	0	0	2	0.8	-0.2500000000000006	-0.7589249899719213	17	0	1
maloj1_1870	maloj1_1870	-0.9	-0.3	0.14444444444444446	0.1875	0.2716049382716049	0.6807305390865174	0.7314814814814815	0.6585104819027934	1.1875	1.9555555555555555	10	4	2	10	2	5	2	1	13	6	7	3	2.3076923076923075	0	-0.09473684210526238	-0.3718592964824123	7	0	1
maphr1_1907	maphr1_1907	1.125	0.375	0.17857142857142858	0.2	0.2857142857142857	0.634900829018476	0.7346938775510204	0.6457058201649605	1.5789473684210527	2	6	3	3	8	5	2	1	0	10	8	2	0	2	0.4	-0.206349206349206	-0.5942028985507247	6	0	1
matea1_1899	matea1_1899	-0.25	0	0.11666666666666667	0.13953488372093023	0.26666666666666666	0.5205050612646575	0.766984126984127	0.7567373266144732	2.3361344537815127	2.6666666666666665	13	5	5	16	6	6	2	2	28	17	11	9	2.5	0.6428571428571429	0.11019989748846798	-0.3321523472099204	11	0	1
mcino1_1857	mcino1_1857	-1.25	-0.5	0.09166666666666666	0	0.1511111111111111	0.5327059870857739	0.726984126984127	0.7581865628265806	1.78	2.525	10	4	4	16	3	11	1	1	22	17	5	4	2.1363636363636362	0.36363636363636365	0.1320182094081939	-0.3653925195232224	7	0	1
mecop1_1866	mecop1_1866	0	0.2	0.07619047619047618	0	0.2627551020408163	0.677762078988868	0.8838304552590267	0.7459860419908982	1.2727272727272727	2.419047619047619	8	4	2	15	8	5	1	1	16	14	2	0	2.125	0.25	-0.2764786795048143	-0.5065913370998116	9	0	1
melia1_1839	melia1_1839	-0.9090909090909091	-0.36363636363636365	0.14545454545454545	0.15789473684210525	0.39	0.5024584133823266	0.6622222222222223	0.7957503620405229	2.103448275862069	2.581818181818182	10	5	4	11	2	6	1	2	16	12	4	1	2	0.625	0.17037037037037037	-0.288379705400982	NA	NA	NA
moaah1_1836	moaah1_1836	-0.5833333333333334	-0.16666666666666666	0.16666666666666666	0.3582089552238806	0.2644628099173554	0.681132791618725	0.6330578512396693	0.5597512374114793	1.8679245283018868	1.893939393939394	6	3	4	12	4	6	1	1	22	21	1	0	2	0.36363636363636365	-0.5733662145499404	-0.4766053565666345	9	0	1
moglj1_1926	moglj1_1926	0.6666666666666666	0.3333333333333333	0.0784313725490196	0.16363636363636364	0.3217993079584775	0.6101464707345418	0.8196366782006921	0.8315832033991891	2.2169811320754715	2.6143790849673203	11	4	4	18	10	4	1	3	24	20	4	0	2.375	0.3333333333333333	0.09090909090909055	-0.23918715901004167	13	0	1
mojoa1_1904	mojoa1_1904	0.42857142857142855	0.14285714285714285	0.14285714285714285	0	0.2222222222222222	0.6365384615384615	0.7555555555555555	0.6605335964242627	1.25	2.0952380952380953	9	4	2	7	3	2	1	1	6	4	2	1	2.1666666666666665	0	-0.00934579439252423	-0.49999999999999983	4	0	1
nabiq1_1846	nabiq1_1846	-0.25	-0.08333333333333333	0.08333333333333333	0	0.10743801652892562	0.33510268127177584	0.5173553719008265	0.6781575959095298	1.2142857142857142	3.1666666666666665	14	7	2	12	4	5	1	2	11	11	0	0	2	0	0.614035087719299	-0.2520325203252033	3	0	1
nnpop1_1931	nnpop1_1931	0.625	0.125	0.125	0	0.42857142857142855	1.0000000000000002	1	0.7257081148225684	1	1.75	4	2	1	8	4	3	1	0	7	4	3	0	2	0	-0.83448275862069	-1	7	0	1
nxumv1_1894	nxumv1_1894	-0.5454545454545454	-0.09090909090909091	0.12727272727272726	0.3	0.135	0.4498468640850883	0.6533333333333333	0.802163256443711	1.4090909090909092	2.6545454545454548	10	5	3	11	4	5	2	0	14	14	0	0	2.0714285714285716	0.2857142857142857	0.6347826086956518	0.17257683215130012	4	0	1
nyrea1_1900	nyrea1_1900	0.19230769230769232	0.038461538461538464	0.04923076923076923	0.06666666666666667	0.4688	0.987810283687943	0.9749333333333333	0.8198195185235194	1	1.9015384615384616	4	2	1	26	13	12	1	0	32	32	0	0	2	0	-0.5609756097560976	-0.6693307830680602	25	0	1
pabit1_1861	pabit1_1861	-0.2	-0.06666666666666667	0.11904761904761905	0	0.17857142857142858	0.4846899419064987	0.7182103610675039	0.7048682639261578	2.6865671641791047	2.857142857142857	11	5	5	15	4	5	2	4	25	16	9	0	2.08	0.88	-0.4385964912280703	-0.19773519163763079	8	0	1
palof1_1834	palof1_1834	0.4117647058823529	0.29411764705882354	0.09558823529411764	0	0.09765625	0.4552345290814249	0.70625	0.7067464364685624	1.7627118644067796	3.0294117647058822	10	5	4	17	9	4	1	3	26	20	6	0	2	0.7692307692307693	0.08080808080808027	-0.4524248004910986	5	0	1
pebim1_1885	pebim1_1885	0.125	0	0.06666666666666667	0	0.24888888888888888	0.6508714291561221	0.8615873015873016	0.7842214411991618	1.2380952380952381	2.4916666666666667	10	4	2	16	7	7	1	1	16	11	5	0	2.1875	0	-0.3830104321907601	-0.38954954954954957	9	0	1
pebrt1_1868	pebrt1_1868	0.08333333333333333	0.25	0.12878787878787878	0.15789473684210525	0.256198347107438	0.6078570240721269	0.7487603305785124	0.6936754341543834	1.2727272727272727	2.227272727272727	8	4	3	12	6	3	3	0	17	16	1	1	2.0588235294117645	0.35294117647058826	-0.29770992366412313	-0.39711417816813055	8	0	1
peviw1_1824	peviw1_1824	0.09090909090909091	0	0.06277056277056277	0.17857142857142858	0.13378684807256236	0.3264746019955434	0.3599848828420257	0.7305553760709238	1.875	2.883116883116883	12	6	5	22	10	10	1	1	29	17	12	8	2.0344827586206895	0	0.4121621621621627	-0.17700968840010495	5	0	1
